body_type,parastatal,action,comment_1,comment_2
constitutional,Code of Conduct Bureau (CCB),amended/merged,EFCC and ICPC,
constitutional,Council of State (COS),,,
constitutional,Federal Character Commission,abolished,,
constitutional,Federal Civil Service Commission (FCSC) ,amended,Federal Public Service Commission ,
constitutional,Federal Judicial Service Commission ,amended,,
constitutional,Independent National Electoral Commission ,,,
constitutional,National Defence Council ,,,
constitutional,National Economic Council ,,,
constitutional,National Judicial Council ,,,
constitutional,National Population Commission (NPopC) ,amended,Constitution 1999,
constitutional,National Security Council (NSC) ,,,
constitutional,Nigeria Police Council (NPC) ,,,
constitutional,Revenue Mobilization Allocation and Fiscal Commission (RMAFC),amended,to accommodate the FRC and the NSIWC,
others,Fiscal Responsibility Commission (FRC) ,abolished/subsumed,RMAFC,
others,Bureau of Public Procurement (BPP) ,amended,Act,
others,Central Bank of Nigeria (CBN) ,,,
others,Economic and Financial Crimes Commission (EFCC) ,amended/merged,ICPC and CCB,
others,Independent Corrupt Practices and Other Related Offences commission (ICPC),amended/merged,Economic and Financial Crimes Commission and Code of conduct Bureau,
others,Infrastructure Concessionary and Regulatory Commission (lCRC) ,amended/subsumed,BPE,
others,Nigerian Atomic Energy Commission (NAEC),abolished/subsumed,Ministry of Power,
others,National Pensions Commission (PENCOM) ,amended,,
others,Nigerian Investment Promotion Commission (NIPC) ,amended/merged,NEPC,
others,Public Complaints Commission (PCC) ,abolished,,
others,"National Salaries, Incomes and Wages Commission (NSIWC)",abolished/subsumed,Revenue Mobilization Allocation and Fiscal Commission,
others,National Human Rights Commission (NHRC) ,,,
others,National Boundary Commission (NBC) ,amended,,
others,Border Communities Development Agency (BCDA),abolished/subsumed,National Boundary Commission,
others,National Institute for Policy and Strategic Studies (NIPSS) ,amended,,
others,National Emergency Management(NEMA) ,amended/merged,National Commission for Refugees,
others,National Commission for Refugees (NCR),amended/merged,National Emergency Management,
others,Debt Management Office (DMO) ,amended,,
others,Niger Delta Power Holding Company (NDPHC) ,,,
others,The National Planning Commission,,,
others,National Bureau of Statistics (NBS),amended,,
others,Centre for Management Development (CMD) ,amended,,
others,Nigerian Institute of Social and Economic Research (NISER),amended,,
office of the secretary to the federal government,National Poverty Eradication Programme (NAPEP),abolished,,
office of the secretary to the federal government,National Identity Management Commission (NIMC),amended/subsumed,Ministry of Interior,
office of the secretary to the federal government,Nigeria National Merit Award (NNMA),amended/subsumed,Ministry of Special Duties,
office of the secretary to the federal government,Federal Road Safety Commission (FRSC),amended,,
office of the secretary to the federal government,Niger Delta Development Commission (NDDC),amended/subsumed,Ministry of Special Duties,
office of the secretary to the federal government,New Partnership for Africa's Development (NEPAD),amended,,
office of the secretary to the federal government,Utilities Charges Commission (UCC),abolished,,
office of the secretary to the federal government,National Agency for the Control of HIV/AIDS (NACA),abolished/subsumed,"CDC, FMofH",
office of the secretary to the federal government,National Hajj Commission of Nigeria (NAHCON),abolished/transferred,Ministry of Foreign Affairs,
office of the secretary to the federal government,Nigerian Christian Pilgrims Commission (NCPC),abolished/transferred,Ministry of Foreign Affairs,
office of the secretary to the federal government,National Economic Intelligence Committee (NEIC),abolished,,
office of the secretary to the federal government,Code of Conduct Tribunal,amended,,
office of the head of the civil service of the federation,Administrative Staff College of Nigeria (ASCON),amended/merged,PSIN,
office of the head of the civil service of the federation,Public Service Institute of Nigeria (PSIN),amended/merged,ASCON,
office of the head of the civil service of the federation,Bureau of Public Service Reforms (BPSR),amended,accommodate SERVICOM,
office of the head of the civil service of the federation,Federal Government Staff Housing Loans Board (FGSHLB),amended,Act,
federal ministry of agriculture and rural development,Agricultural Research Council of Nigeria (ARCN),amended,Law,
federal ministry of agriculture and rural development,Agricultural Research and Rural Management Institute (ARMTI),self funding,,
federal ministry of agriculture and rural development,Bank of Agriculture (BOA),amended,Independence,
federal ministry of agriculture and rural development,National Centre for Agricultural Mechanization (NCAM),abolished/transferred,Federal Ministry of Science and Technology,
federal ministry of agriculture and rural development,"National Livestock Development Project (NLDP), Kaduna",,,
federal ministry of agriculture and rural development,Nigerian Agricultural Insurance Corporation (NAIC) ,amended,Law,
federal ministry of agriculture and rural development,National Food Reserve Agency,amended/subsumed,Federal Ministry of Agriculture and Rural Development,
federal ministry of agriculture and rural development,Nigeria Agricultural Quarantine Service,abolished,,
federal ministry of agriculture and rural development,National Agricultural Seeds Council (NASC),amended,manpower,
federal ministry of agriculture and rural development,Veterinary Council of Nigeria,cease funding,,
ministry of aviation,Nigerian Civil Aviation Authority (NCAA),amended/merged,Federal civil aviation authority,
ministry of aviation,Nigerian Airspace Management Agency (NAMA),amended/merged,Federal civil aviation authority,
ministry of aviation,Accident Investigation Bureau (AlB),amended,unified accident investigation bureau ,
ministry of aviation,Nigerian Meteorological Agency (NIMET),amended/merged,Federal civil aviation authority,
ministry of aviation,Federal Airports Authority of Nigeria (FAAN),privatized,,
ministry of aviation,Nigeria College of Aviation Technology (NCAT),self funding,,
federal ministry of communications technology,Nigerian Communications Commission (NCC),amended/merged,Communications Regulatory Authority of Nigerian (CRAN),
federal ministry of communications technology,National Information Technology Development Agency (NITDA),amended/subsumed,Ministry of Technology,
federal ministry of communications technology,Nigerian Postal Agency (NIPOST),amended,Law,
federal ministry of communications technology,Nigerian Telecommunications Limited (NITEL),liquidated,,
federal ministry of communications technology,Galaxy Backbone Limited (GBL),amended,Objectives,
federal ministry of communications technology,Universal Service Provision Fund (USPF),,,
federal ministry of communications technology,Nigeria Communications Satelite (NigComSat) Limited,abolished/transferred,National Space Research Development Agency,
ministry of defence,Defence Industries Corporation of Nigeria (DICON),commercialized,,
ministry of defence,National Defence College (NDC),,,
ministry of defence,Nigerian Defence Academy (NDA),,,
ministry of defence,Armed Forces Command and Staff College (AFCSC),,,
ministry of defence,Military Pensions Board (MPB),,,
ministry of defence,Defence Intelligence Agency (DIA),,,
ministry of defence,Nigerian Armed Forces Resettlement Centre (NAFRC),,,
ministry of defence,Presidential Committee on Barrack Rehabilitaion (PCBR),abolished/transferred,Corps of Engineers in the Armed Forces,
ministry of defence,Defence Health Maintainance Company Limited,,,
Federal ministry of Education,West African Examination Council (WAEC),,,
Federal ministry of Education,National Examination Council (NECO),abolished/transferred,West African Examination Council,
Federal ministry of Education,Joint Admission and Matriculation Board (JAMB),amended,Fees charged,
Federal ministry of Education,National Universities Commission (NUC),self funding,,
Federal ministry of Education,National Board for Technical Education (NBTE),amended/subsumed,National Commission for Colleges of Education (NCCE),
Federal ministry of Education,National Commission for Colleges of Education (NCCE),amended,Policy,
Federal ministry of Education,Tetiary Education Trust Fund (TETFUND),self funding,,
Federal ministry of Education,National Open University of Nigeria (NOUN),amended,Law/Funding,
Federal ministry of Education,National Library of Nigeria,,,
Federal ministry of Education,Universal Basic Education Commission (UBEC),amended,Law,
Federal ministry of Education,National Commission for Nomadic Education,abolished/transferred,National Commission for Nomadic Education,
Federal ministry of Education,"National Commission for Mass Literacy, Adult and Non-Formal Education",abolished/transferred,National Commission for Nomadic Education,
Federal ministry of Education,National Teachers' Institute (NTI),amended/merged,Nigerian Institute for Education Planners and Administrators (NIEPA),
Federal ministry of Education,Nigerian Institute for Education Planners and Administrators (NIEPA),amended/subsumed,National Teachers' Institute (NTI),
Federal ministry of Education,Nigeria Educational Research and Development Council (NERDC),abolished/transferred,"Policy, Planning, Management and Research Department of the Federal Ministry of Education.",
Federal ministry of Education,The Librarians' Registration Council of Nigeria (LRCN),cease funding,,
Federal ministry of Education,Teachers Registration Counci I of Nigeria (TRCN),cease funding,,
Federal ministry of Education,Computer Professionals Council of Nigeria (CPRCN),cease funding,,
Federal ministry of Education,The National Mathematical Centre (NMC),,,
Federal ministry of Education,French Language Village,,,
Federal ministry of Education,Arabic Language Village,,,
Federal ministry of Education,Nigeria French Language Village (NFLV),,,
Federal ministry of Environment,National Oil Spill Detection and Response Agency (NOSDRA),abolished/transferred,Department of Petroleum Resources (DPR),
Federal ministry of Environment,National Environmental Standards and Regulations Enforcement Agency (NESREA),abolished,,
Federal ministry of Environment,National Park Headquarters,commercialized,,
Federal ministry of Environment,"Forestry Research Institute of Nigeria, Ibadan",self funding,,
Federal ministry of Environment,Environmental Health Registration Council of Nigeria (EHRCN),cease funding,,
Ministry of the Federal Capital Territory,,,,
Federal Ministry of Finance,Federal Inland Revenue Service (FIRS),,,
Federal Ministry of Finance,Office of the Accountant-General of the Federation (OAGF),,,
